zakazchik,ispolnitel,uslugi,date_start,date_end,stoimost
Борисова Светлана Александровна,Степанов Юрий Викторович,Восстановление данных с жесткого диска (программное),17.12.2025,20.12.2025,5500
Андреев Алексей Юрьевич,Зайцева Галина Андреевна,Настройка системы видеонаблюдения (4 IP-камеры + регистратор),01.10.2025,08.10.2025,14800
Андреев Сергей Артемович,Лебедев Артем Павлович,Восстановление Windows после сбоя + сохранение данных,17.10.2025,23.10.2025,4600
Егорова Анастасия Викторовна,Сидорова Ирина Олеговна,Установка Windows 11 + пакет драйверов + Office,30.09.2025,04.10.2025,4200
Кузнецов Максим Викторович,Егорова Наталья Артемовна,"Ремонт лазерного МФУ (замена ролика захвата, чистка)",06.09.2025,11.09.2025,2900
Степанова Дарья Артемовна,Новиков Евгений Андреевич,Замена клавиатуры ноутбука + чистка корпуса,26.10.2025,02.11.2025,4400
Захаров Денис Максимович,Лебедева Наталья Андреевна,Удаление вирусов + установка антивируса + настройка брандмауэра,25.12.2025,30.12.2025,4900
Яковлев Павел Викторович,Макарова Ирина Максимовна,Восстановление данных с жесткого диска (программное),05.10.2025,09.10.2025,5200
Морозова Ирина Павловна,Лебедева Виктория Максимовна,Восстановление данных с жесткого диска (программное),10.12.2025,16.12.2025,4500
Андреев Александр Александрович,Соколова Светлана Павловна,Удаление вирусов + установка антивируса + настройка брандмауэра,10.11.2025,17.11.2025,3000
Борисов Павел Викторович,Андреева Надежда Михайловна,"Монтаж локальной сети (прокладка кабеля, установка розеток, настройка)",17.10.2025,21.10.2025,7100
Соколова Надежда Евгеньевна,Морозов Александр Андреевич,Организация файлового сервера (NAS) для дома,22.11.2025,27.11.2025,6500
Борисов Виктор Олегович,Соловьев Сергей Олегович,Удаление вирусов + установка антивируса + настройка брандмауэра,29.10.2025,04.11.2025,3100
Кузнецова Ирина Дмитриевна,Степанова Анастасия Ивановна,Организация файлового сервера (NAS) для дома,03.10.2025,10.10.2025,8600
Соколов Михаил Алексеевич,Иванов Владимир Сергеевич,"Монтаж локальной сети (прокладка кабеля, установка розеток, настройка)",23.10.2025,28.10.2025,9300
Попов Владимир Максимович,Кузнецов Иван Александрович,Установка Windows 11 + пакет драйверов + Office,21.11.2025,23.11.2025,4200
Николаева Ксения Александровна,Борисова Надежда Владимировна,Подключение и настройка сетевого принтера для офиса,06.11.2025,10.11.2025,2900
Волков Никита Сергеевич,Макаров Артем Владимирович,Настройка системы видеонаблюдения (4 IP-камеры + регистратор),07.10.2025,13.10.2025,8100
Попов Дмитрий Олегович,Васильев Алексей Михайлович,Организация файлового сервера (NAS) для дома,05.10.2025,06.10.2025,6300
Зайцева Ирина Андреевна,Орлова Виктория Максимовна,Подключение и настройка сетевого принтера для офиса,23.10.2025,26.10.2025,2200
Семенов Денис Николаевич,Соколова Любовь Ивановна,Восстановление Windows после сбоя + сохранение данных,26.11.2025,27.11.2025,4300
Петрова Анастасия Владимировна,Новиков Алексей Андреевич,"Ремонт лазерного МФУ (замена ролика захвата, чистка)",10.09.2025,15.09.2025,2800
Попов Александр Викторович,Павлов Евгений Николаевич,Настройка системы видеонаблюдения (4 IP-камеры + регистратор),09.10.2025,11.10.2025,14300
Борисов Максим Юрьевич,Федорова Анна Андреевна,Апгрейд ноутбука: установка SSD 512Gb + перенос Windows,03.12.2025,10.12.2025,7400
Борисов Виктор Олегович,Макарова Екатерина Сергеевна,Организация файлового сервера (NAS) для дома,02.11.2025,08.11.2025,5100
Алексеев Олег Евгеньевич,Васильев Михаил Александрович,Замена клавиатуры ноутбука + чистка корпуса,20.09.2025,22.09.2025,3900
Петрова Ольга Олеговна,Новикова Елена Николаевна,Организация файлового сервера (NAS) для дома,30.12.2025,02.01.2026,5300
Михайлов Алексей Артемович,Андреев Сергей Михайлович,Ремонт цепи питания материнской платы,06.12.2025,11.12.2025,6200
Семенов Никита Андреевич,Орлов Олег Павлович,"Монтаж локальной сети (прокладка кабеля, установка розеток, настройка)",25.09.2025,02.10.2025,9700
Семенова Светлана Александровна,Макаров Юрий Павлович,Установка Windows 11 + пакет драйверов + Office,02.10.2025,06.10.2025,4200
Волкова Юлия Викторовна,Андреев Сергей Артемович,Сборка игрового ПК под ключ + кабель-менеджмент,15.11.2025,17.11.2025,7800
Захаров Дмитрий Николаевич,Попов Алексей Дмитриевич,Замена матрицы ноутбука (включая стоимость детали),18.12.2025,25.12.2025,11100
Егорова Галина Сергеевна,Макарова Дарья Евгеньевна,Сборка игрового ПК под ключ + кабель-менеджмент,07.11.2025,12.11.2025,7500
